epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,570.231,1.92328,0.83459,0.99248,1.30196,0.000274107,0.000274107,0.000274107
2,1138.13,1.23122,0.96992,1,0.28836,0.000529923,0.000529923,0.000529923
3,1704.75,0.50624,1,1,0.02676,0.000763749,0.000763749,0.000763749
4,2272.4,0.22876,1,1,0.0104,0.00073404,0.00073404,0.00073404
5,2839.2,0.25037,1,1,0.00115,0.000701053,0.000701053,0.000701053
6,3439.8,0.20372,1,1,0.00221,0.000668066,0.000668066,0.000668066
7,4018.37,0.1727,1,1,0.00141,0.000635079,0.000635079,0.000635079
8,4595.39,0.12129,1,1,0.00119,0.000602092,0.000602092,0.000602092
9,5172.7,0.10084,1,1,0.00091,0.000569106,0.000569106,0.000569106
10,5749.31,0.11087,1,1,0.00064,0.000536119,0.000536119,0.000536119
11,6326.7,0.10496,1,1,0.00087,0.000503132,0.000503132,0.000503132
12,6905.18,0.08479,1,1,0.00063,0.000470145,0.000470145,0.000470145
13,7483.67,0.07762,1,1,0.00035,0.000437158,0.000437158,0.000437158
14,8063.96,0.08993,1,1,0.00036,0.000404172,0.000404172,0.000404172
15,8639.03,0.10862,1,1,0.00026,0.000371185,0.000371185,0.000371185
16,8896.89,0.06506,1,1,0.00029,0.000338198,0.000338198,0.000338198
17,9103.95,0.07759,1,1,0.00023,0.000305211,0.000305211,0.000305211
18,9310.51,0.06863,1,1,0.00018,0.000272224,0.000272224,0.000272224
19,9517.58,0.07167,1,1,0.00018,0.000239238,0.000239238,0.000239238
20,9731.64,0.04292,1,1,0.00031,0.000206251,0.000206251,0.000206251
21,9951.24,0.04986,1,1,0.00022,0.000173264,0.000173264,0.000173264
22,10160.2,0.04125,1,1,0.0002,0.000140277,0.000140277,0.000140277
23,10377.6,0.04361,1,1,0.00021,0.00010729,0.00010729,0.00010729
24,10585.9,0.05184,1,1,0.00016,7.43036e-05,7.43036e-05,7.43036e-05
25,10802.1,0.06233,1,1,0.00022,4.13168e-05,4.13168e-05,4.13168e-05
